labelpredict	labelreal	paragraph
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
10	3	none
1	3	none
9	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
0	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
4	3	none
1	3	none
5	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
10	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
4	3	none
1	3	none
5	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
10	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
4	3	none
1	3	none
5	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
10	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
4	3	none
1	3	none
5	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
10	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
4	3	none
1	3	none
5	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
10	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
4	3	none
1	3	none
5	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
10	3	none
labelpredict	labelreal	paragraph
1	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
1	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
10	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
4	3	none
1	3	none
5	3	none
3	3	none
1	3	none
2	3	none
8	3	none
8	3	none
7	3	none
7	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
4	3	none
4	3	none
1	3	none
0	3	none
10	3	none
labelpredict	labelreal	paragraph
1	3	none
1	3	none
1	3	none
0	3	none
1	3	none
0	3	none
0	3	none
0	3	none
9	3	none
0	3	none
0	3	none
0	3	none
1	3	none
4	3	none
1	3	none
1	3	none
1	3	none
1	3	none
9	3	none
9	3	none
9	3	none
1	3	none
2	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
0	3	none
1	3	none
1	3	none
1	3	none
6	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
5	3	none
1	3	none
1	3	none
8	3	none
1	3	none
10	3	none
1	3	none
1	3	none
1	3	none
6	3	none
1	3	none
1	3	none
3	3	none
4	3	none
1	3	none
3	3	none
0	3	none
1	3	none
1	3	none
1	3	none
1	3	none
1	3	none
2	3	none
6	3	none
1	3	none
1	3	none
1	3	none
10	3	none
4	3	none
1	3	none
9	3	none
3	3	none
1	3	none
9	3	none
4	3	none
2	3	none
2	3	none
2	3	none
4	3	none
1	3	none
8	3	none
8	3	none
8	3	none
3	3	none
7	3	none
3	3	none
5	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
1	3	none
3	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
3	3	none
3	3	none
1	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
3	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
3	3	none
1	3	none
3	3	none
1	3	none
3	3	none
1	3	none
1	3	none
1	3	none
3	3	none
1	3	none
1	3	none
3	3	none
3	3	none
1	3	none
1	3	none
2	3	none
1	3	none
3	3	none
1	3	none
3	3	none
1	3	none
